"addresses_called","frequency"
7,180155
19,3648
143,111
59,11
1,14918
108,8
946,1
130,1
37,65
46,1480
42,1961
49,21
128,4
142,2
30,135
165,1
45,6187
127,1
72,22
107,2
48,7
26,1723
103,20
35,38
85,8
138,3
1176,1
202,13
253,3
1096,1
61,501
56,19
117,3
95,4
1016,1
97,7
50,9
166,1
14,33908
102,74
296,1
9,226391
38,41
90,6
141,5
109,3
87,12
129,2
64,315
99,54
152,5
169,1
16,42614
71,40
92,5
98,5
135,35
120,24
826,1
79,7
331,1
22,45436
53,194
58,105
76,10
55,5
1114,1
27,3617
60,7
36,10285
18,3624
44,689
115,4
203,3
96,4
5,1088122
23,12642
51,442
57,47
67,30
111,2
726,1
162,3
4,2217420
75,29
140,2
94,8
29,258
33,757
43,7525
62,14
93,11
70,17
123,3
300,1
17,10185
68,9
78,12
161,4
886,1
12,117663
8,69312
41,2285
66,41
32,196
74,15
112,7
134,3
105,3
153,1
2,14817695
47,16
24,4708
100,22
101,7
10,212264
28,1455
172,29
121,2
82,24
89,4
155,1
1168,1
133,3
54,127
63,55
84,6
137,4
116,4
122,3
178,1
34,537
156,13
65,8
114,5
209,1
125,1
13,76458
15,79118
20,1645
52,499
40,304
132,4
83,12
104,7
21,17252
126,17
124,15
73,6
131,2
252,6
110,3
6,568205
86,10
118,4
91,5
81,32
139,3
3,5290627
25,3632
31,215
69,28
11,142955
39,196
77,11
106,3
119,7
88,6
776,1
136,2
80,6
