address,deployed_alive_contracts
0x0de8bf93da2f7eecb3d9169422413a9bef4ef628,4341899
0x0a252663dbcc0b073063d6420a40319e438cfa59,3534877
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,1962983
0x881d4032abe4188e2237efcd27ab435e81fc6bb1,1753886
0xa3c1e324ca1ce40db73ed6026c4a177f099b5770,1586334
0xa5409ec958c83c3f309868babaca7c86dcb077c1,1548230
0xffa397285ce46fb78c588a9e993286aac68c37cd,1164759
0x8a91c9a16cd62693649d80afa85a09dbbdcb8508,1049380
0xa24787320ede4cc19d800bf87b41ab9539c4da9d,1023010
0x46d781c076596e1836f62461f150f387ad140c0e,952859
0xf6874c88757721a02f47592140905c4336dfbc61,836791
0x71d271f8b14adef568f8f28f1587ce7271ac4ca5,743646
0x4f01001cf69785d4c37f03fd87398849411ccbba,722020
0x0000000000771a79d0fc7f3b7fe270eb4498f20b,661427
0x2f848984984d6c3c036174ce627703edaf780479,547316
