"year","nodes_count","edges_count","distinct_call_types","call_count_call","call_count_delegatecall","call_count_staticcall","call_count_callcode"
"2015-01-01T00:00:00",27260,1559029,1559029,1555738,0,0,3291
"2016-01-01T00:00:00",19915422,69268741,69268741,68825810,219173,0,223758
"2017-01-01T00:00:00",16224133,163299646,163299646,158377224,4886019,10772,25631
"2018-01-01T00:00:00",32182070,480611539,480611539,465934414,13725772,951210,143
"2019-01-01T00:00:00",27398504,568020267,568020267,510012334,26111709,31896164,60
"2020-01-01T00:00:00",45081698,1096433780,1096433780,724405952,105635706,266392036,86
"2021-01-01T00:00:00",61055348,1685912295,1685912295,1046018635,175564037,464328457,1166
"2022-01-01T00:00:00",41579245,1727640410,1727640410,1020442762,254223752,452973262,634
"2023-01-01T00:00:00",45102070,2059553203,2059553203,1111923557,267206816,680422646,184
"2024-01-01T00:00:00",56631465,2587970106,2587970106,1309532930,373133592,905303043,541
