"addresses_called","frequency"
7,7916028
19,111611
59,2460
108,141
143,6
1,76932
146,7
130,29
205,1
246,2
190,1
46,9725
37,13622
42,10909
49,5859
142,28
128,38
167,10
175,5
407,1
223,1
186,1
30,26805
165,12
264,1
45,7968
48,6587
72,1037
107,115
127,154
26,63579
35,18910
85,501
103,179
138,12
147,4
253,1
56,3518
61,2372
95,182
117,34
304,1
164,6
97,195
50,5860
166,4
170,2
288,1
14,412667
102,172
233,1
9,1970572
38,12403
90,493
129,107
87,428
109,92
141,6
158,1
64,1791
99,192
152,31
157,7
154,4
169,4
16,294141
92,335
71,1126
98,207
168,20
192,1
301,1
79,795
135,29
120,29
211,2
330,1
22,73464
53,5310
76,1345
55,3786
58,2856
239,1
60,2111
27,34804
144,28
865,5
273,1
18,140814
36,16883
44,10246
115,51
163,677
96,207
148,15
160,1
5,20776693
23,72873
57,3070
51,5348
67,1617
162,57
111,49
171,3
208,2
4,35438640
75,1182
94,352
140,17
29,28253
33,17446
43,11013
62,2125
219,1
196,1
70,1513
93,301
123,29
221,1
17,195029
68,1470
78,760
161,30
255,1
451,1
8,3596181
12,638298
32,20229
66,1842
105,208
41,13393
74,974
134,12
112,56
153,9
2,33253872
47,7179
179,1
324,1
24,65340
100,150
113,107
101,138
177,1
28,43846
10,1416154
89,448
82,682
121,50
133,16
155,7
349,1
63,4157
54,4030
84,550
116,66
122,39
151,4
174,1
137,7
178,2
282,1
191,1
389,1
184,1
323,1
210,1
34,18150
65,2265
125,31
114,86
156,18
315,1
207,2
13,579939
15,305057
20,99254
40,12019
83,1001
52,5549
104,214
132,80
150,10
180,1
21,112662
73,942
126,43
216,1
110,92
124,41
145,9
131,12
149,8
294,1
181,3
6,10067023
86,403
91,354
81,793
139,8
118,47
271,5
232,1
287,3
268,1
69,2624
3,9931478
25,42760
31,24347
11,892798
39,14844
77,1604
88,477
80,743
106,113
119,39
136,23
159,3
