"address","deployed_alive_contracts"
"0x0de8bf93da2f7eecb3d9169422413a9bef4ef628",4341899
"0x0a252663dbcc0b073063d6420a40319e438cfa59",3534877
"0x0000000000004946c0e9f43f4dee607b0ef1fa1c",1962983
"0x881d4032abe4188e2237efcd27ab435e81fc6bb1",1753886
"0xa3c1e324ca1ce40db73ed6026c4a177f099b5770",1586334
"0xa5409ec958c83c3f309868babaca7c86dcb077c1",1548230
"0xffa397285ce46fb78c588a9e993286aac68c37cd",1164759
"0x8a91c9a16cd62693649d80afa85a09dbbdcb8508",1049380
"0xa24787320ede4cc19d800bf87b41ab9539c4da9d",1023010
"0x46d781c076596e1836f62461f150f387ad140c0e",952859
"0xf6874c88757721a02f47592140905c4336dfbc61",836791
"0x71d271f8b14adef568f8f28f1587ce7271ac4ca5",743646
"0x4f01001cf69785d4c37f03fd87398849411ccbba",722020
"0x0000000000771a79d0fc7f3b7fe270eb4498f20b",661427
"0x2f848984984d6c3c036174ce627703edaf780479",547316
"0xfef2359e77df8b769760d62cbb5ee676fe78f6c2",455032
"0xcc463e7fcf501162670f31fcd8aa4a9896a9aadd",423600
"0x131a99859a8bfa3251d899f0675607766736ffae",406556
"0xb42b20ddbeabdc2a288be7ff847ff94fb48d2579",401555
"0x2e05a304d3040f1399c8c20d2a9f659ae7521058",395685
"0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f",395574
"0x0000000000b3f879cb30fe243b4dfee438691c04",381051
"0x0031e147a79c45f24319dc02ca860cb6142fcba1",369731
"0x1522900b6dafac587d499a862861c0869be6e428",360333
"0x279b045989bd4cd60ee4a53d2a1c0621a4b4623f",333422
"0x2a549b4af9ec39b03142da6dc32221fc390b5533",312671
"0x17bc58b788808dab201a9a90817ff3c168bf3d61",306610
"0xea7a7bc3ba38b2569b6bee8dcd8acb4218c08716",292285
"0x485b9a41e8bf06e57bb64c6ba7cb04f9d53d2d76",266738
"0xc3c7b049678d84081dfd0ba21a6c7fdcc31c226f",236161
"0x0a9077aa8a6e3b6016e9936ae3541a6bf5740eba",234910
"0xa6b71e26c5e0845f74c812102ca7114b6a896ab2",231451
"0x358ccb76e25500783a0b0ac79940de07e886facc",224600
"0xa26e15c895efc0616177b7c1e7270a4c7d51c997",222091
"0x9862d074e33003726fa05c74f0142995f33a3250",206856
"0x2754b28227f041a66c46509d5620782bfc4766ef",193346
"0xbf0c5d82748ed81b5794e59055725579911e3e4e",183515
"0x42bca2a5593c3b6dc2ebaf62db7e7f6e1d273794",161984
"0x6c3f07bfdfce0463457385129fed97f0992a111d",145958
"0xedce883162179d4ed5eb9bb2e7dccf494d75b3a0",142581
"0x8c4b7870fc7dff2cb1e854858533ceddaf3eebf4",138981
"0x6090a6e47849629b7245dfa1ca21d94cd15878ef",133175
"0x0df19407f9bb6db7a7d877973180de70a77765d7",117900
"0xde14e7548a46bbbf1f3f50e98a04e58c0efc60eb",109231
"0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc",105582
"0xad7b0527ab2a2e96c5a299aecd1a37fa9b38263a",102400
"0xfc27cd13b432805f47c90a16646d402566bd3143",98976
"0x84654be796dad370032391d5479f8f1fd9ddd14e",88667
"0xf466f27fb811ab1572ca67ab438e966910f5d9c1",87923
"0x004bd3562a42c8a7394794849b8ff5ad71c527b2",84695
"0xd02c52f828a35b808ce8335e7f02805dcc380b35",84649
"0x5be1de8021cc883456fd11dc5cd3806dbc48d304",82897
"0xbb50ce87be3443ed137df1dfdbf2fb0ca8c0a9e0",80690
"0xea21afb757e8eb0901b720d42555fa225a563fcd",80173
"0xd3510d3cf63c7ea8684e41cddd54144dae12fec1",79335
"0xbc982f3e45205ddd54e8191247bdba69e4a9c701",75296
"0x85429f986a5cc38f90de7b4ffa44d570eef04066",73839
"0x87d729e2961a57f72825d390462e360aba4e20a7",72100
"0x0bd9bf737f70c339db6b87f6a9fa8f6862b30dd6",69932
"0xcdd37ada79f589c15bd4f8fd2083dc88e34a2af2",69126
"0xed212a4a2e82d5ee0d62f70b5dee2f5ee0f10c5d",68632
"0x89bf387095cd603035a08036d89bd2089ce091c7",68000
"0x29ef46035e9fa3d570c598d3266424ca11413b0c",63601
"0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852",62801
"0xbf82a4d24bd1b8261b683b12cfc876d30fbb0469",62468
"0x822d9f6f6d1e0a9785a8dff3083858e2c888f078",59420
"0x22941e38116f21923b7d82ed003375dd7fca9d45",58253
"0x0000852600ceb001e08e00bc008be620d60031f2",57484
"0x00000100f2a2bd000715001920eb70d229700085",57447
"0x00006100f7090010005f1bd7ae6122c3c2cf0090",57232
"0x00000000441378008ea67f4284a57932b1c000a5",56951
"0x74d4344bf8cead0779e2041f19d2985985c67d7b",56631
"0x86f855c130ccf3c3d306e56971e0a6b2c50fe13e",56130
"0x62b92d5ad29bc7adffa2904faac28dd0ce3fc65a",55743
"0x8b3b3b624c3c0397d3da8fd861512393d51dcbac",54448
"0x5e3b08cd8a3b909e4396eda0818d5b1e4f43d4da",53896
"0x27492703e18f7ab987d57c1e92d9e5d16d35b163",52483
"0x01021a579f2385992e9277306b8b647d6e8138b4",52265
"0x0000002263ed26b54a28bbec0db6e51b62297b50",49152
"0x4f391c202a906eed9e2b63fdd387f28e952782e2",48565
"0x521db06bf657ed1d6c98553a70319a8ddbac75a3",46678
"0x52c36fb0d9a40dae716144275b76f42a7ac865c4",46543
"0xaa3ee038335ba66417cf63f2ead0978cca66a1a2",46479
"0x32a3256a4b15badd4a6e072a03d23404d925a5cf",46417
"0xbdeb4ba6a1bb01e01ed64f11ed8f6f4b906af52b",45809
"0x000000109099b65ba98f0934ddd9c95e8ea3fd48",45750
"0x3b612a5b49e025a6e4ba4ee4fb1ef46d13588059",43661
"0x1bdac750132eb91e569f6fd2582d2d67f6f1ea0c",42928
"0x2debc3b202eb70c9e722ff2153fbfb9b5ce2e8b2",41300
"0x92f0fb6a6ebcd7c32123288144c7b8c7fbf86021",39503
"0xb16c1342e617a5b6e4b631eb114483fdb289c0a4",39445
"0x9f2df004713f8bf9b1daf14566d8c832fc010282",39297
"0x0536806df512d6cdde913cf95c9886f65b1d3462",39033
"0x25c2f0e18f8945f5395aa971c99e95f808e79dea",38525
"0x01cd62ed13d0b666e2a10d13879a763dfd1dab99",38476
"0x76e2cfc1f5fa8f6a5b3fc4c8f4788f0116861f9b",38279
"0x57e037f4d2c8bea011ad8a9a5af4aaeed508650f",37453
"0x612e2daddc89d91409e40f946f9f7cfe422e777e",37447
"0x2971adfa57b20e5a416ae5a708a8655a9c74f723",37311
"0x866f649cd9280d3dfa282372a3f5828839944959",36723
"0xd6a062cae6123c158768a5c444ca0896cc60d6b1",34673
"0xab76c6d00c603a7615d5459132c1745eb1fb4f6c",34401
"0xf9b6541b14f586459acdc6aec15dc2e12b8db09f",34383
"0x58f56615180a8eea4c462235d9e215f72484b4a3",33767
"0x3f89f250e7ec83e0d2b09fc1d3aa4343a20ee021",33174
"0x91e677b07f7af907ec9a428aafa9fc14a0d3a338",32757
"0x536384fcd25b576265b6775f383d5ac408ff9db7",32754
"0x5ef30b9986345249bc32d8928b7ee64de9435e39",31908
"0xaa06234a864105b6191aad445e7ca1f79a8d5e96",31896
"0xbc8b8cd5902dd5172dd29c82506c72fcddae1240",30838
"0xb2ce9dfa531ad026eebbc1964685845743c61433",30500
"0x43d99d54f14c64994fd9666beab6023b0069de20",30476
"0xeec02515a59f4369ad3d9fc7a47049585b589db5",30335
"0x469fd8c54e74f28eeaf8facba0ab3bea2da7967c",30001
"0x1f98431c8ad98523631ae4a59f267346ea31f984",29710
"0xd1d9be34afe769b8302e0bcbcbda2a54884e363c",29651
"0xd6bf4ba6ec6c3d24a1e99442ec2136892d4b8d2d",29600
"0xaf309b29ce626fabac728819dba6b4179237e298",29054
"0x1e68238ce926dec62b3fbc99ab06eb1d85ce0270",28838
"0x9218b27598cde5449128c27ba2bd924fb74d65f9",28822
"0x1911e2cafc712bcfcd2f35d0581a91e774164449",28549
"0x08daf71efa7915807bc5675ad402989d7820cf6f",28425
"0x0000000000007ede785b25bc186efea9376784c1",28134
"0x7b596c8f1b4db131503eb4f4a06f81c99d47dae1",27875
"0xe7c2a3404f8dd0783719df1e3a27b814caca2009",27485
"0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5",26782
"0xa2a1bf5a83f9daec2dc364e1c561e937163cb613",26779
"0x174443351e21d47ed9ab51517a301107d92ede64",26589
"0xfa2d8fd3505e7adceaf1a6d3bf0a9da091337480",26469
"0x7b8c48256caf462670f84c7e849cab216922b8d3",26341
"0x04046027549f739edfd5b2a78efdbaf0f0bf4514",25694
"0xf2015a9160c9c9381ff99f19fc18e5af57cac8ed",25561
"0xeea5e6ea5998928352cf54425819436f80f95ae9",25093
"0x212b32f8ab8a1b5751632ba0729149c5db98348a",25043
"0xbc208797e1436f093bc505224bb119f19cfa5981",24410
"0xa2635b3d63b4e31976419865e1a81553bb347be3",23579
"0x00b19a5200a100e5fc4c9800772f4d002f218400",23433
"0x4591fd0c3160cdbfef4caf804df3e45da23af56a",23327
"0xa39bf46ceee5bdac2c9bc95a28f959719e088f83",23183
"0xe02954d701cc7660f5d0b96b5e625f33910f34a8",23176
"0x5193e33f843012c27c502550fa77a543e48187f0",22933
"0xdbe0d523e0bd9fd95cdc1b931b6195f15d4d7017",22925
"0x185479fb2caecba11227db4186046496d6230243",22872
"0x8b71140ad2e5d1e7018d2a7f8a288bd3cd38916f",22685
"0xe35f12181a2748285358b63cff25887410d0804b",22570
"0x95151e4615c5c0924b918c85ad8d8a94d6644ab3",22395
"0x854712513c52868617c96d015bba6505b16cae39",22375
"0x8a636c5dfa8bb6a0f9916f214352213ebbc2a841",21935
"0x982e49cb023bbdbdc7d5dd8b867fc83cb2c0def4",21831
"0x09862ed5908c0a336f9f92e5ffeb9768deac6091",21637
"0x409b512e1cf94500877c5353b2a0c13b2d24914f",21601
