"original_creator","creations","max_depth"
"0x0cf83143f0ab9d6e178fc7f141205ec2992266c8",4342423,2
"0xc73fc08c931efe3fce850c09278472e8a81c2e05",3536334,2
"0x7e1e3334130355799f833ffec2d731bca3e68af6",1962984,2
"0xd7879a38dc8cca193e1aee8f569acf4872693a95",1753893,2
"0xf8929d90db92986660526fd006a7195219ed2383",1586363,2
"0x0084a81668b9a978416abeb88bc1572816cc7cac",1548393,2
"0x1ff21eca1c3ba96ed53783ab9c92ffbf77862584",1213829,2
"0xf7aba9b064a12330a00eafaa930e2fe8e76e65f0",1167231,2
"0x2666de46aa6879af3ac7f5e091fdd0c9a34e66e3",1049388,2
"0x957aacab066b0c79fa4d1720d33b31ad645ef3a0",1038028,2
"0xb5f84807633600d3af4d922486e0adf9fa5f6359",952868,2
"0x60f7f36fc9c823fd25fdf00feefc6d39bed8b53b",836795,2
"0x390de26d772d2e2005c6d1d24afc902bae37a4bb",722021,2
"0xe824ff5d7a5de844ea11f5ac5ebe2b6f02b7c511",661428,2
"0xa8344f42814ab006ace709b26368a68a416f7777",551934,2
"0xf7e522b8fd87096ae0db2dba4cc3b25d239e6c0c",504421,2
"0x2e05a304d3040f1399c8c20d2a9f659ae7521058",478582,2
"0x35899a1ed1ba6781d0b853c293d5dc1ed2b9c593",455037,2
"0x38c7ea86c8235b0cfccfb91153259e85353cd202",406557,2
"0xb42b20ddbeabdc2a288be7ff847ff94fb48d2579",401555,1
"0x9c33eacc2f50e39940d3afaf2c7b8246b681a374",395578,2
"0x470f1c3217a2f408769bca5ab8a5c67a9040664a",381052,2
"0x0031e147a79c45f24319dc02ca860cb6142fcba1",369731,1
"0x00bdb5699745f5b860228c8f939abf1b9ae374ed",360334,2
"0x808b4da0be6c9512e948521452227efc619bea52",355312,2
"0x3fab184622dc19b6109349b94811493bf2a45362",354914,6
"0x17bc58b788808dab201a9a90817ff3c168bf3d61",306610,1
"0x35d803f11e900fb6300946b525f0d08d1ffd4bed",292324,2
"0x4c2f150fc90fed3d8281114c2349f1906cde5346",271068,2
"0x47cd2c9cffe896bbd3c05af2ce6682dd969f2519",236164,2
"0x61fbb052daf37a3b50616669a10c4778f08f3c6f",234911,2
"0x07c8e38deda2ddead4b8f6ba67392aa9b567bae4",224614,2
"0xdb33dfd3d61308c33c63209845dad3e6bfb2c674",223129,3
