"to_address","call_type","call_count"
"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","call",173221876
"0xdac17f958d2ee523a2206206994597c13d831ec7","call",63606938
"0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","call",42000820
"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","call",34664972
"0x000000000022d473030f116ddee9f6b43ac78ba3","call",20569463
"0x06450dee7fd2fb8e39061434babcfc05599a6fb8","call",14202782
"0xe37e799d5077682fa0a244d46e5649f71457bd09","call",14089159
"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","call",12541196
"0x1111111254eeb25477b68fb85ed929f73a960582","call",10758028
"0x22f9dcf4647084d6c31b2765f6910cd85c178c18","call",10067708
"0x1af2e314e3291c6a4cd52a210a1af027c7799cce","callcode",158
"0x417f5a41305ddc99d18b5e176521b468b2a31b86","callcode",151
"0x273930d21e01ee25e4c219b63259d214872220a2","callcode",113
"0x8f57162ef4204e383cdd7ca55c11ab374e23634d","callcode",37
"0x5f37d719be7b2a22617dd4576537b58d2646f8d7","callcode",17
"0x6c6c7f09ac247a047bdc2b3a741714281e0c3d06","callcode",15
"0xb5a0cb26c280ff006a8aa03a0320fe8e891b0ee1","callcode",7
"0xd6a5b291f75b92b9dc8206a19141c40b3f7c61ca","callcode",7
"0x58b2c60e638856c1e1a912979b9b95a193a1d629","callcode",6
"0x35ce82b7756f19b2b5cfc5e617c7faa40ded2d31","callcode",5
"0x43506849d7c04f9138d1a2050bbf3a0c054402dd","delegatecall",54083426
"0x4bba9b6b49f3dfa6615f079e9d66b0aa68b04a4d","delegatecall",27471992
"0xd9db270c1b5e3bd161e8c8503c55ceabee709552","delegatecall",6161981
"0x2b33cf282f867a7ff693a66e11b0fcc5552e4425","delegatecall",5919025
"0x0a252663dbcc0b073063d6420a40319e438cfa59","delegatecall",5677857
"0x17144556fd3424edc8fc8a4c940b2d04936d17eb","delegatecall",5545859
"0x46affe1b4f3fc41581fd20fbaf055daeab80a8b5","delegatecall",4805382
"0x1b47a665364bc15c28b05f449b53354d0ceff72f","delegatecall",3734920
"0x0de8bf93da2f7eecb3d9169422413a9bef4ef628","delegatecall",3379270
"0xebaed7a81c298b24ee6d59c22698a951dc448e01","delegatecall",3142538
"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","staticcall",174363317
"0x0000000000000000000000000000000000000002","staticcall",86971458
"0x0000000000000000000000000000000000000001","staticcall",45465826
"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","staticcall",20282831
"0xdac17f958d2ee523a2206206994597c13d831ec7","staticcall",19199240
"0x0000000000000000000000000000000000000004","staticcall",17132122
"0x0000000000000000000000000000000000000006","staticcall",14749357
"0x0000000000000000000000000000000000000007","staticcall",13850820
"0x5f4ec3df9cbd43714fe2740f5e3616155c5b8419","staticcall",5049827
"0x7a250d5630b4cf539739df2c5dacb4c659f2488d","staticcall",3959242
