to_address;call_type;call_count;verification_status;proxy_code;label;supplier_who
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;call;173221876;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;Wrapped Ether (WETH);-
0xdac17f958d2ee523a2206206994597c13d831ec7;call;63606938;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;Tether: USDT Stablecoin;-
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad;call;42000820;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;Uniswap: Universal Router;-
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;call;34664972;Verification successful: The proxy's (0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48) implementation contract is found at 0x43506849d7c04f9138d1a2050bbf3a0c054402dd and is successfully updated.;Proxy;Circle: USDC Token;https://www.circle.com/usdc
0x000000000022d473030f116ddee9f6b43ac78ba3;call;20569463;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;Uniswap Protocol: Permit2;-
0x06450dee7fd2fb8e39061434babcfc05599a6fb8;call;14202782;Verification failed: A corresponding implementation contract was unfortunately not detected for the proxy address.;Proxy;XEN crytpo: XEN Token;https://xen.network/
0xe37e799d5077682fa0a244d46e5649f71457bd09;call;14089159;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;0xe37e799d5077682fa0a244d46e5649f71457bd09(deployed by [1inch: Deployer 4]);-
0x7a250d5630b4cf539739df2c5dacb4c659f2488d;call;12541196;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;Uniswap V2: Router 2;-
0x1111111254eeb25477b68fb85ed929f73a960582;call;10758028;Verification failed: A corresponding implementation contract was unfortunately not detected for the proxy address.;Proxy;1inch: Aggregation Router V5;https://app.1inch.io/
0x22f9dcf4647084d6c31b2765f6910cd85c178c18;call;10067708;Verification successful: The proxy's (0x22f9dcf4647084d6c31b2765f6910cd85c178c18) implementation contract is found at 0xb2bc06a4efb20fc6553a69dbfa49b7be938034a7 and is successfully updated.;Proxy;0x: Exchange Proxy Flash Wallet;https://0x.org/
0x1af2e314e3291c6a4cd52a210a1af027c7799cce;callcode;158;Verification failed: A corresponding implementation contract was unfortunately not detected for the proxy address.;Proxy; NO INFO; NO INFO
0x417f5a41305ddc99d18b5e176521b468b2a31b86;callcode;151;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;-;-
0x273930d21e01ee25e4c219b63259d214872220a2;callcode;113;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;-;-
0x8f57162ef4204e383cdd7ca55c11ab374e23634d;callcode;37;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;-;-
0x5f37d719be7b2a22617dd4576537b58d2646f8d7;callcode;17;Verification failed: A corresponding implementation contract was unfortunately not detected for the proxy address.;Proxy; NO INFO; NO INFO
0x6c6c7f09ac247a047bdc2b3a741714281e0c3d06;callcode;15;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;-;-
0xb5a0cb26c280ff006a8aa03a0320fe8e891b0ee1;callcode;7;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;-;-
0xd6a5b291f75b92b9dc8206a19141c40b3f7c61ca;callcode;7;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;-;-
0x58b2c60e638856c1e1a912979b9b95a193a1d629;callcode;6;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;-;-
0x35ce82b7756f19b2b5cfc5e617c7faa40ded2d31;callcode;5;Verification failed: This contract does not look like it contains any delegatecall opcode sequence.;Not Proxy;-;-
0x43506849d7c04f9138d1a2050bbf3a0c054402dd;delegatecall;54083426;Verification successful: The proxy's (0x43506849d7c04f9138d1a2050bbf3a0c054402dd) implementation contract is found at 0x800c32eaa2a6c93cf4cb51794450ed77fbfbb172 and is successfully updated.;Proxy;Circle: USDC Token(Impl); NO INFO
